"UserID","Decay_Value","SyncRate_Value","Tracing"
"A100Y89FZO4J0B",1.18,0.7,TRUE
"A10LLZZHZVGWRW",3,0.5,TRUE
"A10O5YR01H865K",3,0.5,TRUE
"A10YS8AVLQWUZZ",0.53,0.8,TRUE
"A1160COTUR26JZ",2.75,0.9,TRUE
"A124E03UMDZAA9",3,0.8,TRUE
"A12HZGOZQD5YK7",3,0.7,TRUE
"A13FUEPWBCLBUY",0.75,0.4,TRUE
"A13GGKMPBDKWX6",1.65,0.8,TRUE
"A13P6LC1SFXYGS",1,0.9,TRUE
"A14HW8I4RYHNC4",3,0.8,TRUE
"A14SEFVPXYZ9TN",3,0.8,TRUE
"A1561P9VVA3C1C",2.22,0.8,TRUE
"A16SJ5D3DKUEXJ",3,0.7,TRUE
"A16TP8YGKE1FJ5",0.61,0.1,TRUE
"A17OINLIDZ0C14",3,0.7,TRUE
"A17TKHT8FEVH0R",3,0.9,TRUE
"A17WT0K0HFTW9U",2.27,0.2,TRUE
"A188SHJZPHE8BA",3,0.6,TRUE
"A18E16UFE351U6",2.09,0.9,TRUE
"A18ZZDT5VJR35Z",3,0.7,TRUE
"A19DZAFFZEU6GN",2.84,0.7,TRUE
"A19ZWBQT8A3LIR",3,0.5,TRUE
"A1AQQFJAF8CI4H",3,0.5,TRUE
"A1B78YH6IB8K3Z",3,0.7,TRUE
"A1CAIKMPROFYQ8",3,0.7,TRUE
"A1CMWA0L8FTSXA",3,0.4,TRUE
"A1CSDIX05PK9V",3,0.6,TRUE
"A1CTUG0RUGCY48",0.47,0.3,TRUE
"A1DNJ17PE2RYJZ",3,0.7,TRUE
"A1DUPOUC9RNU4L",3,0.6,TRUE
"A1EBVJWBNNPUFU",1.91,0.5,TRUE
"A1EITLFAMKA61U",3,0.7,TRUE
"A1EX9PH5R5V4IX",2.04,0.6,TRUE
"A1F1OZ54G177D8",2.53,0.4,TRUE
"A1F2VHKMDWEA2X",2.57,0.8,TRUE
"A1F4N58CAX8IMK",0.59,0.7,TRUE
"A1F9KLZGHE9DTA",1,0.9,TRUE
"A1FUR4UJ0S46W6",3,0.5,TRUE
"A1FYWSPNO7KN1O",3,0.8,TRUE
"A1G6F1HWIS2K2K",3,0.5,TRUE
"A1GKD3NG1NNHRP",2.07,0.4,TRUE
"A1GPZ5REMDQZ0L",0.13,0.3,TRUE
"A1GXFMAC759VRM",2.92,0.9,TRUE
"A1H72Y9Z5NJXDS",3,0.3,TRUE
"A1HMO9XPRPUPWJ",3,0.8,TRUE
"A1IDAOL2MZ3L3L",3,0.8,TRUE
"A1IMO5XR05U7S5",3,0.6,TRUE
"A1ING769NXJIHR",2.33,0.5,TRUE
"A1IUH9D7N69VS",3,0.7,TRUE
"A1IXH2QLUU5BKZ",3,0.6,TRUE
"A1JV64BL3WCK0G",3,1,TRUE
"A1K0S514CEY1UG",1.51,0.4,TRUE
"A1KLAGM9CCOFBN",3,0.3,TRUE
"A1LE6AUI3CJNIT",3,0.4,TRUE
"A1LOUZD99NZCT2",2.52,0.5,TRUE
"A1MB3A5MC58LK6",3,0.8,TRUE
"A1MJVTR0PCKBWW",1.07,0.7,TRUE
"A1MN2PWAV10VAB",3,0.7,TRUE
"A1N16ZU0FNQEY6",3,0.7,TRUE
"A1NVJB5O4H7ZCJ",3,0.5,TRUE
"A1ODGBU73JE8S",1.97,0.3,TRUE
"A1OPGPTQJ48XOY",2.31,0.4,TRUE
"A1P6LFEAY9MWAY",1.19,0.8,TRUE
"A1PAMVTKGCXSWQ",3,0.4,TRUE
"A1PLB1NZOE2PQ7",2.93,0.8,TRUE
"A1PMZUBGXFANCI",0.62,0.6,TRUE
"A1QRGVE005067Q",1.53,0.8,TRUE
"A1SOQ9Q35SASE4",3,0.8,TRUE
"A1T3ROSW2LC4FG",1.79,0.7,TRUE
"A1UKAS30R0MFI6",3,0.4,TRUE
"A1UNBT94I82S8V",1.4,0.4,TRUE
"A1UW0C6QZOT3E7",3,0.6,TRUE
"A1V2H0UF94ATWY",0.6,0.4,TRUE
"A1VAL7L9L79IN0",3,0.7,TRUE
"A1VIP6S8H2XXH7",3,0.5,TRUE
"A1VIUV55F27XVM",3,0.8,TRUE
"A1W5UNVGLYVEI8",3,0.6,TRUE
"A1XVEKS9O73ERE",1.88,0.8,TRUE
"A1YCGICA8XCNBH",3,0.6,TRUE
"A1YOM14RNAUWT3",2.52,0.8,TRUE
"A1YSYI926BBOHW",3,0.7,TRUE
"A1Z1O6MMOB3UWW",3,0.4,TRUE
"A1Z8AOIDT5IV43",3,0.7,TRUE
"A20SL254675EOK",0.74,0.5,TRUE
"A20X14OMRL0YPZ",0.56,0.8,TRUE
"A20Z5O57UDPFLX",3,0.5,TRUE
"A21UA6O7ZFAIQJ",1.94,0.7,TRUE
"A228YSXU6H27QT",0.46,0.9,TRUE
"A229SEF35EGTSF",3,0.4,TRUE
"A22CRHYK7SPW8C",1.16,0.6,TRUE
"A230GPTWWF3SE7",3,0.7,TRUE
"A23437BMZ5T1FH",3,0.2,TRUE
"A2389DERMNF3ZB",3,0.8,TRUE
"A2482SLAY120J2",3,0.7,TRUE
"A25N0K40JAZTN1",3,0.8,TRUE
"A25VE425L75JHI",2.87,0.6,TRUE
"A267GLM78AMQ75",1.06,0.5,TRUE
"A26A4HEBGP2MOX",3,0.7,TRUE
"A27MJOV91GA8R3",0.58,0.8,TRUE
"A27SMEOPKV84VI",1.07,0.8,TRUE
"A27ZE20JZ3VDUP",3,0.3,TRUE
"A28G4QO0DRY8OZ",2.83,0.8,TRUE
"A28T38MOUG43YD",3,0.6,TRUE
"A29AKJXQ248KNK",0.3,0.6,TRUE
"A29WHPBW1R07CT",3,0.8,TRUE
"A2AG45K4ULNBHF",3,0.7,TRUE
"A2AZYU1CT24O0K",2.74,0.5,TRUE
"A2B227N1NQYS56",2.44,0.8,TRUE
"A2BK9RMC0NOIH8",3,0.5,TRUE
"A2BNOEYZ3VRW2R",3,0.8,TRUE
"A2C73Y1COWCA51",0.95,0.4,TRUE
"A2C7TMRC2QHTIW",3,0.6,TRUE
"A2CHDWKAYZ3P3E",3,0.7,TRUE
"A2D6VL5XE0O4D3",3,0.8,TRUE
"A2DH6KE258SZBH",3,0.9,TRUE
"A2DHKTD1GSBXR2",3,0.5,TRUE
"A2DNLHS1RSTF5R",3,0.3,TRUE
"A2EHH2ZFIRF1BF",2.37,0.9,TRUE
"A2EUXA84IMO859",1.98,0.8,TRUE
"A2FGDZX6Q0AFVM",3,0.7,TRUE
"A2FL477TMKC91L",1.56,0.8,TRUE
"A2FLOH4DM8A4ZS",1.68,0.7,TRUE
"A2FUPODRRCESB",3,0.6,TRUE
"A2GB0RI43KU4Z",2.78,1,TRUE
"A2GOYSTIL3LOV1",1.72,1,TRUE
"A2ILUP6FN8HKKC",3,0.9,TRUE
"A2IVGLOBFOT67M",0.14,0.7,TRUE
"A2LMQ4497NMK3S",3,0.7,TRUE
"A2MKXI4KCRRI7Y",2.4,0.6,TRUE
"A2NGMLBFZ3YQP5",3,0.5,TRUE
"A2O5OJXCUFQ3FV",0.82,0.7,TRUE
"A2OO4PG3LBLP5I",1.53,0.9,TRUE
"A2PXJTMWGUE5DC",3,0.4,TRUE
"A2R89RXGEVG05I",0.84,0.5,TRUE
"A2R8IV2PWFTY00",3,0.6,TRUE
"A2RCYLKY072XXO",3,0.5,TRUE
"A2RRDATXKQ8HHC",3,0.7,TRUE
"A2RVEG53L48BAE",3,0.5,TRUE
"A2SENAPNSXG9L",2.8,0.8,TRUE
"A2SJC9VRBGNC58",2.87,1,TRUE
"A2SOHTPWH4VGP5",3,0.5,TRUE
"A2SWQM5X54P1O5",3,0.7,TRUE
"A2T7GR2Y72FY0K",1.79,0.8,TRUE
"A2TVJTQ4VXATE6",3,0.5,TRUE
"A2UTV66F2E69A6",3,0.8,TRUE
"A2V35L3RIRYYXV",1.95,0.6,TRUE
"A2V3ECGQQYNO85",1.74,0.7,TRUE
"A2VAL2BRKVSUB5",2.03,0.4,TRUE
"A2VBSFSJXLZZ7A",1.56,0.6,TRUE
"A2VR9O234UCT9T",3,0.6,TRUE
"A2VRDE2FHCBMF8",1.22,0.8,TRUE
"A2WC2NO555XU3J",2.29,0.5,TRUE
"A2XKVWHXJV0HWZ",3,0.3,TRUE
"A2XQ3CFB5HT2ZQ",3,0.6,TRUE
"A2XUADP5L61HQ5",3,0.6,TRUE
"A2YDA5EGPSTMCC",1.56,0.5,TRUE
"A2YP22IYWPZWR0",3,0.9,TRUE
"A2YUCJ28XANFOX",3,0.6,TRUE
"A2ZJAEL03VTZ8",3,0.5,TRUE
"A2ZNOMZ35LKY8Q",3,0.8,TRUE
"A30KYQGABO7JER",1.84,0.8,TRUE
"A30RAYNDOWQ61S",3,0.8,TRUE
"A30VLAIIJIG5IS",3,0.6,TRUE
"A313JEGCVV2UES",3,0.8,TRUE
"A31681CCEVDIH3",3,0,TRUE
"A320QA9HJFUOZO",3,0.7,TRUE
"A32E28U1ZP67NE",3,0.2,TRUE
"A32QJF67JMJFKX",3,0.6,TRUE
"A34BX72ZUITSW3",3,0.7,TRUE
"A34DR0CVUBDL1N",2.25,0.8,TRUE
"A34UER5ZQ5APMB",3,0.8,TRUE
"A35K3YVCX1LVPE",3,0.6,TRUE
"A35NM2285DUAFH",1.01,0.9,TRUE
"A35QG1M8RGDUPC",3,0.8,TRUE
"A361EVMLK9O0G1",3,0.8,TRUE
"A36IU5EX4AZD04",2.87,0.9,TRUE
"A37P8UZ3SAKM7A",1.86,0.4,TRUE
"A37S96RT1P1IT2",3,0.8,TRUE
"A38DXFI1TZA295",3,0.8,TRUE
"A39C210BKD7YNN",3,0.7,TRUE
"A39MKVROUZ1UWR",1.36,0.6,TRUE
"A39ROW50DWRRKT",2.22,0.5,TRUE
"A3BFMY5OX2WMUW",0.44,0.7,TRUE
"A3C0NQ2IP5FTZQ",1.18,0.7,TRUE
"A3CF8ULBSE8MTL",3,0.9,TRUE
"A3CWYWKQXX4RIZ",3,0.6,TRUE
"A3CXK1KSRGU27V",1.46,0.6,TRUE
"A3D70ANCSMGX5F",3,0.5,TRUE
"A3D9NTTKE35SRL",3,0.4,TRUE
"A3EAUAU8V3B5S7",3,0.7,TRUE
"A3FI4PWGQDJN25",3,0.9,TRUE
"A3GPTSDDHJ2DBV",1.98,0.5,TRUE
"A3GXC3VG37CQ3G",3,0.8,TRUE
"A3HKMZ9ML9EPUY",2.68,0.8,TRUE
"A3I9FTHSULHPYS",3,0.8,TRUE
"A3ISDIYTS02E8C",3,0.3,TRUE
"A3ITZNJQUTIZ4C",1.74,0.7,TRUE
"A3J8Y94SGZ3R0E",3,0.8,TRUE
"A3JDWMS5QJHREI",1.89,0.5,TRUE
"A3JKTMLUUCR46A",2.89,0.5,TRUE
"A3KH1OG87C8DCM",3,0.5,TRUE
"A3LT7W355XOAKF",3,0.6,TRUE
"A3MD34XEB4H6JF",0.33,0.5,TRUE
"A3MXB3R0R9G9TA",1.79,0.5,TRUE
"A3N6DWJC7P3HSI",2.94,0.5,TRUE
"A3O7X46E3REM7I",3,0.7,TRUE
"A3Q0XAGQ7TD7MP",2.05,0.7,TRUE
"A3Q6MLGAKB7K0C",3,0.9,TRUE
"A3QAETE7C7Z4R3",3,0.5,TRUE
"A3QEVFM3UD67BA",1.25,0.5,TRUE
"A3QLGMZOLGMBQ1",1.6,0.6,TRUE
"A3R5OJR60C6004",3,0.7,TRUE
"A3T9LVCYQIS4UT",3,0.3,TRUE
"A3TCFIPOBRZZB3",2.97,0.6,TRUE
"A3TOUB8313BPVS",3,0.3,TRUE
"A3V1ZYXBJYCIIE",3,0.6,TRUE
"A3V8C77FN4FLUA",2.67,0.3,TRUE
"A3W4MAKNDI1SXM",3,0.4,TRUE
"A5T9IFDZ3W4T6",3,0.6,TRUE
"A60NQZ1KE5U8T",3,0.8,TRUE
"A6HKCHY1RVBK7",1,0.8,TRUE
"A6MWJK1YEY5L2",2,0.9,TRUE
"A6SR4BU227GUH",3,0.6,TRUE
"A6U2C66WQ7QQN",3,0.6,TRUE
"A89R5XGMHOTJE",3,0.4,TRUE
"A8AG71WQHPTYN",3,0.8,TRUE
"A8FLNGDLNJCUU",3,0.9,TRUE
"A8VFIXE5FL8C6",3,0.4,TRUE
"A98E8M4QLI9RS",3,0.4,TRUE
"A9A2IX3OBORBE",3,0.5,TRUE
"A9HJGCF4HEN61",3,0.8,TRUE
"A9HQ3E0F2AGVO",3,0.4,TRUE
"A9WIOFVRSYW3L",3,0.4,TRUE
"AA402T4YY1S7N",2.39,0.7,TRUE
"AA4KKLIU4C3NY",3,0.7,TRUE
"AA8PZKO9XGCKO",3,0.8,TRUE
"AAASQIW3J32OL",3,0.8,TRUE
"AADRVG2QVZH75",3,0.5,TRUE
"AAQREZOK13OV7",2.21,0.5,TRUE
"AC6Y70F8YSHJN",3,0.7,TRUE
"ADWDNBND4BW94",3,0.5,TRUE
"AETIZKQNUSBLB",3,0.5,TRUE
"AFUX7IUQOE0NA",3,0.6,TRUE
"AFZ7Z5FOWM9VN",3,0.5,TRUE
"AGTV2SNFKXB11",3,0.5,TRUE
"AHT8HA3JRWVGV",2.97,0.9,TRUE
"AHTZ9RQ6G5",3,0.7,TRUE
"AHZP05WVFXXCG",3,0.9,TRUE
"AIEKCWYZTS41V",3,0.6,TRUE
"AIPHJXQEDNW9L",3,1,TRUE
"AIQT0DPRTXYYD",1.52,0.7,TRUE
"AIWSB4YTN32GF",3,0.5,TRUE
"AIZTLQM7HHQN6",2.89,0.5,TRUE
"AJ2AOZ9IHBDIR",2.19,0.7,TRUE
"AJFJ6VXZJKSXD",1.33,0.8,TRUE
"AJXIC6Q5EM76P",3,0.6,TRUE
"AKN8F5H6GBN81",3,0.7,TRUE
"AKZ8SFOAI4RZN",2.33,0.8,TRUE
"ALV4DAF8DIJ37",1.97,0.6,TRUE
"ALZVG5501Y5IX",3,0.7,TRUE
"AMLE1FC3SQVL8",2.2,0.9,TRUE
"AMSAIACF91GM3",2.22,0.8,TRUE
"AN098C29EGJ6",1.96,0.6,TRUE
"AN9MVFWRCF2OP",3,0.9,TRUE
"ANJJYKB47APL5",3,0.7,TRUE
"ANNVWKERLZG9AA",1.01,0.7,TRUE
"AOIR8V07FYMH5",3,0.5,TRUE
"AOTCPS24JM5DQ",1.11,0.5,TRUE
"AP7BOM5KUH8KV",3,0.8,TRUE
"APGX2WZ59OWDN",3,0.9,TRUE
"AQ5KOKZQSZU0B",3,0.7,TRUE
"AQ9Y6WD8O72ZC",1.47,0.8,TRUE
"AQOXSP4W3ITSW",1.47,0.8,TRUE
"AR1IWBDA7MC86",0.58,0.8,TRUE
"ARLGZWN6W91WD",3,0.7,TRUE
"ARVU7VYF2489E",3,0.7,TRUE
"ASI2B6A3Y556Z",0.12,0.6,TRUE
"ASOALSPOWW0WY",1.78,0.5,TRUE
"AT3C00TKZK13L",3,0.7,TRUE
"AT6OT5K5Z4V0J",2.9,0.7,TRUE
"AT9C1PB6JVCG6",1.77,0.7,TRUE
"AU7A3QNJF3O00",3,0.5,TRUE
"AUFOO8PU2BK37",3,0.5,TRUE
"AV22FQTJNBUZT",1.87,0.8,TRUE
"AVNXCGTZQ1CFK",3,0.4,TRUE
"AW0K78T4I2T72",3,0.5,TRUE
"AWEUAV2UW15NK",3,0.7,TRUE
"AY5OS6NZWVX22",0.71,1,TRUE
"AY9ZVK32I1P1L",3,0.4,TRUE
"AYBYMDBEBK5Z",1.06,0.8,TRUE
"AYJDIMKGMGCF9",1.83,0.8,TRUE
"AZ8JL3QNIPY4U",0.75,0.9,TRUE
"AZBH4LJ5SL456",2.39,0.8,TRUE
"AZMOA8ONG0D2U",2.78,0.7,TRUE
"AZVJA0TUHIUJK",2.9,0.7,TRUE
